OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,YearBuilt,Fireplaces,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,GarageFinish,OpenPorchSF,SalePrice
7,1710,2,548,856,856,2,2003,0,8,Gd,Gd,Gd,RFn,61,208500
6,1262,2,460,1262,1262,2,1976,1,6,TA,TA,Gd,RFn,0,181500
7,1786,2,608,920,920,2,2001,1,6,Gd,Gd,Gd,RFn,42,223500
7,1717,3,642,756,961,1,1915,1,7,Gd,TA,TA,Unf,35,140000
8,2198,3,836,1145,1145,2,2000,1,9,Gd,Gd,Gd,RFn,84,250000
5,1362,2,480,796,796,1,1993,0,5,TA,TA,Gd,Unf,30,143000
8,1694,2,636,1686,1694,2,2004,1,7,Gd,Gd,Ex,RFn,57,307000
7,2090,2,484,1107,1107,2,1973,2,7,TA,TA,Gd,RFn,204,200000
7,1774,2,468,952,1022,2,1931,2,8,TA,TA,TA,Unf,0,129900
5,1077,1,205,991,1077,1,1939,2,5,TA,TA,TA,RFn,4,118000
5,1040,1,384,1040,1040,1,1965,0,5,TA,TA,TA,Unf,0,129500
9,2324,3,736,1175,1182,3,2005,2,11,Ex,Ex,Ex,Fin,21,345000
5,912,1,352,912,912,1,1962,0,4,TA,TA,TA,Unf,0,144000
7,1494,3,840,1494,1494,2,2006,1,7,Gd,Gd,Gd,RFn,33,279500
6,1253,1,352,1253,1253,1,1960,1,5,TA,TA,TA,RFn,213,157000
7,854,2,576,832,854,1,1929,0,5,TA,TA,TA,Unf,112,132000
6,1004,2,480,1004,1004,1,1970,1,5,TA,TA,TA,Fin,0,149000
4,1296,2,516,0,1296,2,1967,0,6,TA,TA,,Unf,0,90000
5,1114,2,576,1114,1114,1,2004,0,6,Gd,TA,TA,Unf,102,159000
5,1339,1,294,1029,1339,1,1958,0,6,TA,TA,TA,Unf,0,139000
8,2376,3,853,1158,1158,3,2005,1,9,Gd,Gd,Ex,RFn,154,325300
7,1108,1,280,637,1108,1,1930,1,6,Gd,TA,TA,Unf,0,139400
8,1795,2,534,1777,1795,2,2002,1,7,Gd,Gd,Gd,RFn,159,230000
5,1060,2,572,1040,1060,1,1976,1,6,TA,TA,Gd,Unf,110,129900
5,1060,1,270,1060,1060,1,1968,1,6,Gd,TA,TA,Unf,90,154000
8,1600,3,890,1566,1600,2,2007,1,7,Gd,Gd,Gd,RFn,56,256300
5,900,2,576,900,900,1,1951,0,5,Gd,TA,TA,Unf,32,134800
8,1704,3,772,1704,1704,2,2007,1,7,Gd,Gd,Ex,RFn,50,306000
5,1600,1,319,1484,1600,1,1957,2,6,TA,TA,TA,RFn,258,207500
4,520,1,240,520,520,1,1927,0,4,Fa,TA,TA,Unf,0,68500
4,1317,1,250,649,649,1,1920,0,6,TA,TA,TA,Unf,54,40000
5,1228,1,271,1228,1228,1,1966,0,6,Gd,TA,TA,Unf,65,149350
8,1234,2,484,1234,1234,2,2007,0,7,Gd,Gd,Ex,RFn,30,179900
5,1700,2,447,1398,1700,1,1959,1,6,Gd,TA,TA,RFn,38,165500
9,1561,2,556,1561,1561,2,2005,1,6,Ex,Ex,Ex,Fin,47,277500
8,2452,3,691,1117,1132,3,2004,1,9,Gd,Gd,Ex,Fin,32,309000
5,1097,2,672,1097,1097,1,1994,0,6,TA,TA,Gd,Unf,64,145000
5,1297,2,498,1297,1297,1,1954,1,5,TA,TA,TA,Fin,0,153000
5,1057,1,246,1057,1057,1,1953,0,5,Gd,TA,TA,Unf,52,109000
4,1152,0,0,0,1152,2,1955,0,6,Fa,TA,,,0,82000
6,1324,2,440,1088,1324,2,1965,1,6,TA,TA,TA,RFn,138,160000
5,1328,1,308,1350,1328,1,1959,2,5,TA,TA,TA,RFn,104,170000
5,884,2,504,840,884,1,1983,0,5,Gd,TA,Gd,RFn,0,144000
5,938,1,308,938,938,1,1975,0,5,TA,TA,Gd,Unf,0,130250
5,1150,1,300,1150,1150,1,1959,0,6,TA,TA,TA,RFn,0,141000
9,1752,2,576,1752,1752,2,2005,1,6,Ex,Ex,Ex,RFn,82,319900
7,2149,2,670,1434,1518,1,2003,1,6,Gd,Gd,Ex,RFn,43,239686
8,1656,3,826,1656,1656,2,2006,0,7,Gd,Gd,Gd,RFn,146,249700
4,1452,0,0,736,736,2,1920,0,8,TA,TA,TA,,0,113000
5,955,1,386,955,955,1,1966,0,6,TA,TA,TA,Unf,0,127000
6,1470,2,388,794,794,2,1997,0,6,TA,TA,Gd,Fin,75,177000
6,1176,2,528,816,816,1,1934,1,6,TA,TA,TA,Unf,0,114500
5,816,2,516,816,816,1,1963,0,5,TA,Fa,Gd,Unf,0,110000
9,1842,3,894,1842,1842,0,1981,1,5,Gd,Gd,Ex,Fin,72,385000
5,1360,2,572,384,1360,1,1955,1,6,TA,TA,TA,Unf,50,130000
6,1425,2,576,1425,1425,2,1964,1,7,TA,TA,TA,RFn,0,180500
8,1739,2,480,970,983,2,1999,0,7,Gd,Gd,Gd,Fin,0,172500
7,1720,2,565,860,860,2,2004,0,7,Gd,Gd,Gd,RFn,70,196500
10,2945,3,641,1410,1426,3,2006,1,10,Gd,Ex,Ex,Fin,0,438780
5,780,1,352,780,780,1,1972,0,4,TA,TA,TA,Unf,0,124900
6,1158,2,576,1158,1158,1,2004,0,5,Gd,TA,Gd,Unf,50,158000
5,1111,1,288,530,581,1,1920,0,6,Fa,TA,TA,Unf,0,101000
8,1370,2,484,1370,1370,2,2006,1,6,Gd,Gd,Gd,RFn,49,202500
7,1710,2,480,576,902,2,1921,0,9,TA,TA,TA,Unf,11,140000
7,2034,2,645,1057,1057,2,1997,0,8,Gd,TA,Gd,RFn,36,219500
8,2473,3,852,1143,1143,2,2004,1,9,Gd,Gd,Ex,RFn,151,317000
7,2207,2,576,1947,2207,2,1970,1,7,TA,TA,Gd,RFn,0,180000
7,1479,2,558,1453,1479,2,2003,0,7,Gd,Gd,Gd,RFn,29,226000
4,747,1,220,747,747,1,1945,0,4,TA,TA,TA,Unf,0,80000
7,2287,2,667,1304,1304,2,1953,1,7,TA,Gd,TA,Fin,21,225000
7,2223,2,516,2223,2223,2,1973,2,8,TA,TA,Gd,Fin,0,244000
4,845,2,360,845,845,1,1982,0,4,TA,TA,TA,Unf,0,129500
7,1718,2,427,832,885,2,1998,1,7,TA,TA,Gd,Fin,94,185000
5,1086,2,490,1086,1086,1,1954,0,6,TA,TA,TA,Unf,0,144900
3,1605,1,379,840,840,2,1915,0,8,TA,Gd,Fa,Unf,0,107400
4,988,1,297,462,526,1,1973,0,5,TA,TA,Gd,Unf,101,91000
4,952,1,283,952,952,1,1956,0,4,TA,TA,TA,Unf,0,135750
5,1285,1,240,672,1072,1,1948,0,6,TA,TA,TA,Unf,0,127000
4,1768,0,0,1768,1768,2,1968,0,8,TA,TA,TA,,0,136500
5,1230,2,440,440,682,1,1910,0,5,TA,TA,TA,Unf,0,110000
6,2142,1,509,896,1182,2,1968,1,8,Gd,TA,Gd,Fin,72,193500
6,1337,2,405,1237,1337,2,1998,0,5,TA,TA,Ex,Fin,199,153500
8,1563,3,758,1563,1563,2,2007,1,6,Gd,TA,Gd,RFn,99,245000
5,1065,2,461,1065,1065,1,1960,0,6,TA,TA,TA,Unf,0,126500
7,1474,2,400,384,804,2,1995,1,7,TA,TA,Gd,Fin,72,168500
8,2417,2,462,1288,1301,2,1991,1,9,Gd,Gd,Gd,Unf,82,260000
6,1560,2,400,684,684,2,2005,1,6,Gd,Gd,Gd,Fin,38,174000
6,1224,2,528,612,612,2,2009,0,4,Gd,Gd,Gd,RFn,234,164500
3,1526,0,0,1013,1013,1,1915,0,6,Fa,Fa,TA,,0,85000
4,990,0,0,990,990,1,1994,0,5,TA,TA,Gd,,0,123600
4,1040,2,420,0,1040,1,1950,0,4,TA,TA,,Unf,29,109900
5,1235,2,480,1235,1235,1,1961,0,6,TA,TA,TA,Unf,0,98600
5,964,2,432,876,964,1,1921,0,5,TA,TA,Gd,Unf,0,163500
6,2291,2,506,1214,1260,2,1910,1,9,TA,TA,TA,Unf,0,133900
6,1786,2,684,824,905,2,1997,0,7,Gd,TA,Gd,RFn,162,204750
6,1470,2,420,680,680,2,1993,1,6,TA,Ex,Gd,Fin,63,185000
7,1588,2,472,1588,1588,2,1999,0,6,Gd,Gd,Gd,RFn,29,214000
4,960,1,432,960,960,1,1965,0,6,TA,TA,TA,Fin,0,94750
5,835,1,366,458,835,1,1920,0,5,TA,TA,TA,Unf,0,83000
4,1225,0,0,950,1225,1,1959,0,6,TA,TA,TA,,0,128950
6,1610,2,480,1610,1610,2,1977,2,6,Gd,TA,TA,RFn,68,205000
6,1732,2,476,741,977,2,1985,1,7,Gd,Gd,Gd,Fin,46,178000
5,1535,2,410,0,1535,2,1979,0,8,TA,TA,,Unf,0,118964
7,1226,3,740,1226,1226,2,2009,0,6,Gd,TA,Gd,RFn,36,198900
7,1818,1,240,1040,1226,1,1931,2,7,TA,TA,TA,Unf,0,169500
8,1992,2,648,1053,1053,2,2003,1,9,Gd,Gd,Ex,RFn,45,250000
4,1047,1,273,641,1047,1,1885,0,6,TA,TA,Fa,Unf,0,100000
5,789,1,250,789,789,1,1948,0,5,TA,TA,TA,Unf,0,115000
5,1517,0,0,793,997,2,1919,0,7,Fa,TA,TA,,0,115000
6,1844,2,546,1844,1844,2,1977,1,7,TA,TA,Gd,RFn,122,190000
6,1855,1,325,994,1216,2,1954,0,7,TA,TA,TA,Unf,0,136900
7,1430,2,400,384,774,2,2000,1,7,TA,TA,Gd,Fin,0,180000
7,2696,3,792,1264,1282,2,2007,1,10,Ex,Gd,Ex,Fin,184,383970
6,2259,2,450,1809,2259,2,1953,2,7,Gd,TA,Gd,Unf,120,217000
6,2320,1,180,1028,1436,2,1945,1,9,Gd,TA,TA,Unf,0,259500
6,1458,2,440,729,729,2,1999,1,5,TA,TA,Gd,Unf,32,176000
5,1092,1,288,1092,1092,1,1962,1,6,TA,TA,TA,Unf,20,139000
5,1125,2,430,1125,1125,1,2006,0,5,TA,TA,Gd,Unf,64,155000
7,3222,3,594,1673,1699,3,1990,2,11,Gd,TA,Gd,Unf,0,320000
6,1456,2,390,728,728,2,2005,1,8,Gd,Gd,Gd,Fin,24,163990
6,988,2,540,938,988,1,1969,2,4,TA,TA,TA,Unf,130,180000
4,1123,1,264,732,772,1,1939,0,4,TA,TA,TA,Unf,0,100000
6,1080,1,288,1080,1080,1,1958,0,5,TA,TA,TA,Unf,0,136000
6,1199,2,530,1199,1199,2,1993,0,5,Gd,Gd,Gd,RFn,63,153900
6,1586,2,435,1362,1586,2,1979,1,7,TA,TA,Gd,Unf,0,181000
6,754,0,0,520,520,1,1935,0,5,TA,TA,TA,,0,84500
6,958,2,440,1078,958,2,1976,1,5,TA,TA,Gd,RFn,205,128000
5,840,0,0,672,840,1,1930,1,5,TA,TA,TA,,0,87000
6,1348,2,453,660,660,1,1966,1,6,TA,TA,TA,RFn,108,155000
5,1053,2,750,1008,1053,1,1958,0,6,Ex,TA,TA,RFn,80,150000
7,2157,2,487,924,1216,2,1966,2,8,Gd,TA,TA,Fin,66,226000
6,2054,2,390,992,1022,2,2000,1,7,Gd,Gd,Gd,RFn,48,244000
5,1327,2,624,1063,1327,1,1959,0,7,Gd,TA,TA,Unf,0,150750
8,1296,2,471,1267,1296,2,2001,0,6,Gd,Gd,Ex,Fin,25,220000
5,1721,2,440,1461,1721,2,1968,1,7,TA,TA,TA,RFn,96,180000
7,1682,2,530,1304,1682,2,1970,1,7,TA,TA,TA,Unf,0,174000
5,1214,1,318,1214,1214,2,1967,1,5,TA,TA,TA,RFn,111,143000
7,1959,3,766,1907,1959,3,1988,0,9,TA,TA,TA,Unf,0,171000
8,1852,3,660,1004,1004,2,1999,2,7,Gd,Gd,Gd,Fin,106,230000
6,1764,2,470,928,928,2,1997,0,7,Gd,TA,Gd,RFn,99,231500
4,864,0,0,864,864,1,1971,1,5,TA,TA,TA,,0,115000
7,1734,2,660,1734,1734,2,2005,0,7,Gd,Gd,Gd,Fin,24,260000
5,1385,2,720,910,910,2,1952,0,6,TA,TA,TA,Unf,0,166000
7,1501,2,577,1490,1501,2,1999,0,6,Gd,Gd,Gd,RFn,29,204000
5,1728,2,504,1728,1728,2,1963,0,10,TA,TA,TA,Unf,0,125000
6,1709,2,380,970,970,2,2004,0,7,Gd,Gd,Gd,Unf,40,130000
5,875,1,180,715,875,1,1931,0,5,TA,TA,TA,Unf,0,105000
7,2035,2,434,884,884,2,2001,1,8,Gd,Gd,Gd,Fin,48,222500
7,1080,0,0,1080,1080,1,2004,0,6,Gd,TA,Gd,,0,141000
5,1344,1,240,896,896,1,1936,0,7,TA,TA,Gd,Unf,114,115000
5,969,2,440,969,969,1,1975,0,5,TA,TA,TA,Unf,0,122000
8,1710,3,866,1710,1710,2,2007,1,6,Gd,Gd,Ex,RFn,102,372402
6,1993,2,495,825,1097,2,1971,1,8,TA,TA,TA,RFn,66,190000
6,1252,2,564,1602,1252,1,1960,1,4,TA,TA,Gd,RFn,0,235000
6,1200,1,312,1200,1200,1,1923,0,7,TA,TA,TA,Unf,0,125000
6,1096,0,0,572,572,1,1924,0,5,TA,TA,TA,,8,79000
5,1040,2,625,0,1040,1,1950,0,5,TA,TA,,Unf,0,109500
8,1968,3,680,774,774,2,2009,1,8,Ex,Gd,Ex,Fin,75,269500
7,1947,2,678,991,991,2,2004,1,8,Gd,Gd,Gd,RFn,136,254900
7,2462,2,576,1392,1392,2,2005,1,9,Gd,Gd,Gd,RFn,132,320000
6,1232,2,516,1232,1232,2,1984,0,6,TA,TA,Gd,Unf,0,162500
9,2668,3,726,1572,1572,2,2003,2,10,Ex,Gd,Ex,Fin,0,412500
7,1541,2,532,1541,1541,2,2005,1,7,Gd,Gd,Gd,RFn,70,220000
4,882,0,0,882,882,1,1956,0,4,TA,TA,TA,,0,103200
6,1616,1,216,1149,1149,2,1926,0,5,Gd,TA,TA,Unf,0,152000
5,1355,0,0,644,808,2,1940,0,6,TA,TA,TA,,0,127500
5,1867,1,303,1617,1867,1,1955,3,7,TA,Gd,TA,Fin,0,190000
8,2161,3,789,1582,1610,1,2007,1,8,Ex,Gd,Ex,Fin,120,325624
7,1720,2,440,840,840,2,2004,1,7,Gd,Gd,Gd,Fin,48,183500
8,1707,2,511,1686,1707,2,1981,1,6,TA,Gd,Gd,RFn,64,228000
5,1382,2,660,720,854,1,1941,0,7,TA,TA,TA,Unf,0,128500
6,1656,2,528,1080,1656,1,1960,2,7,TA,TA,TA,Fin,62,215000
7,1767,2,504,1064,1064,2,1987,1,5,Gd,Gd,Gd,RFn,35,239000
6,1362,2,504,1362,1362,1,1961,1,6,TA,TA,TA,Unf,20,163000
6,1651,2,616,1606,1651,2,1986,1,7,TA,TA,Gd,Fin,0,184000
6,2158,2,576,1202,2158,2,1950,1,7,Gd,TA,TA,Unf,29,243000
6,2060,2,521,1151,1164,2,1988,1,8,TA,Gd,Gd,Unf,228,211000
5,1920,2,451,1052,1252,2,1958,1,8,Gd,Gd,TA,Unf,0,172500
9,2234,3,1166,2216,2234,2,2008,1,9,Ex,Ex,Ex,Fin,60,501837
5,968,2,480,968,968,1,1923,0,5,TA,Gd,TA,Unf,0,100000
6,1525,2,440,756,769,2,2000,1,5,Gd,Gd,Gd,Unf,0,177000
7,1802,1,216,793,901,1,1920,1,9,TA,TA,Fa,Unf,0,200100
5,1340,1,252,0,1340,1,1957,1,7,TA,TA,,RFn,0,120000
7,2082,2,484,1362,1362,2,2003,0,6,Gd,TA,Gd,Unf,238,200000
5,1252,2,576,504,936,1,1908,0,5,TA,TA,Fa,Unf,0,127000
10,3608,3,840,1107,1518,2,1892,2,12,Ex,Gd,TA,Unf,260,475000
7,1217,2,497,1188,1217,2,1990,0,6,Gd,TA,Gd,Unf,27,173000
5,1656,1,180,660,808,2,1916,0,8,TA,TA,Fa,Unf,0,135000
5,1224,2,528,1086,1224,0,1979,2,6,TA,TA,Gd,Unf,0,153337
8,1593,2,682,1593,1593,1,2001,1,5,Ex,Gd,Ex,Fin,120,286000
8,2727,2,440,853,1549,2,1932,2,10,Gd,Gd,Gd,Unf,74,315000
7,1479,2,484,725,725,1,1972,0,7,Gd,TA,TA,Fin,32,184000
7,1431,2,666,1431,1431,2,1999,0,6,Gd,Gd,Gd,Fin,35,192000
7,1709,2,380,970,970,2,2004,0,7,Gd,Gd,Gd,Unf,40,130000
5,864,1,352,864,864,1,1972,0,5,TA,TA,TA,Unf,0,127000
6,1456,2,440,855,855,2,1976,1,7,TA,TA,Gd,Unf,0,148500
7,1726,3,786,1726,1726,2,2007,1,8,Ex,Ex,Ex,Fin,138,311872
8,3112,2,795,1360,1360,2,1918,1,8,Gd,Gd,TA,Unf,16,235000
6,2229,0,0,755,929,1,1912,0,8,TA,TA,TA,,198,104000
8,1713,3,856,1713,1713,2,2004,1,7,Ex,Gd,Ex,Fin,26,274900
4,1121,2,440,1121,1121,2,2003,0,5,TA,TA,Gd,RFn,64,140000
6,1279,2,473,1196,1279,2,1977,2,6,TA,TA,TA,Unf,83,171500
6,1310,1,398,617,865,2,1924,0,6,TA,TA,Fa,Unf,0,112000
6,848,2,420,848,848,1,2004,1,3,Gd,Gd,Gd,RFn,0,149000
5,1284,1,240,720,720,1,1947,0,5,TA,TA,TA,Unf,35,110000
7,1442,2,500,1424,1442,2,1990,0,5,TA,TA,Gd,RFn,34,180500
5,1696,1,349,1140,1696,1,1962,1,8,TA,TA,TA,RFn,30,143900
4,1100,1,312,1100,1100,1,1960,1,6,TA,TA,TA,RFn,0,141000
7,2062,2,454,1157,1180,2,1988,1,7,TA,Gd,Gd,Fin,55,277000
6,1092,2,504,1092,1092,1,1964,0,6,TA,TA,Gd,RFn,0,145000
5,864,0,0,864,864,1,1925,0,5,TA,TA,TA,,0,98000
6,1212,2,460,1212,1212,2,2009,0,6,Gd,TA,Gd,RFn,22,186000
7,1852,2,644,900,932,2,2009,1,7,Gd,TA,Gd,RFn,108,252678
5,990,2,576,990,990,1,1995,0,5,TA,TA,Gd,Unf,0,156000
6,1392,1,299,689,689,1,1977,0,6,TA,TA,Gd,Fin,36,161750
5,1236,1,447,1070,1236,1,1957,1,6,Gd,TA,TA,Unf,0,134450
7,1436,2,484,1436,1436,2,2004,0,8,Gd,Gd,Gd,Unf,98,210000
4,1328,1,210,686,810,1,1925,0,8,TA,TA,TA,Unf,172,107000
7,1954,2,431,798,1137,1,1939,2,8,Gd,Gd,TA,Unf,119,311500
7,1248,2,438,1248,1248,2,2005,0,5,Gd,Gd,Gd,Fin,0,167240
7,1498,2,675,1498,1498,2,2006,0,5,Gd,Gd,Gd,RFn,33,204900
6,2267,2,390,1010,1010,2,2002,1,8,Gd,Gd,Gd,RFn,46,200000
6,1552,2,434,713,811,2,1975,1,6,TA,TA,Gd,RFn,208,179900
4,864,2,576,864,864,1,1971,0,4,TA,TA,TA,Unf,0,97000
10,2392,3,968,2392,2392,2,2003,1,8,Ex,Ex,Ex,Fin,105,386250
5,1302,1,280,630,630,2,1971,0,6,TA,TA,TA,Unf,0,112000
7,2520,3,721,1203,1214,2,1995,1,9,Gd,Gd,Gd,RFn,114,290000
6,987,1,280,483,483,1,1970,0,5,TA,TA,TA,Unf,0,106000
5,912,1,336,912,912,1,1967,1,5,TA,TA,TA,Unf,0,125000
7,1555,2,430,1373,1555,2,2005,1,7,Gd,Gd,Gd,Fin,20,192500
6,1194,1,312,1194,1194,1,1959,0,6,TA,TA,TA,RFn,0,148000
8,2794,3,810,1462,1490,2,1995,1,9,Ex,Gd,Gd,Fin,146,403000
6,987,1,288,483,483,1,1972,1,5,TA,TA,TA,Unf,0,94500
5,894,1,308,894,894,1,1976,0,5,TA,TA,TA,Unf,0,128200
6,1960,2,440,860,860,2,2002,2,8,Gd,Gd,Gd,Fin,48,216500
6,987,1,264,483,483,1,1971,0,5,TA,TA,TA,Unf,0,89500
7,1414,2,494,1414,1414,2,2004,0,6,Gd,Gd,Gd,RFn,105,185500
7,1744,2,457,996,1014,2,1993,0,7,Gd,Gd,Gd,RFn,70,194500
8,1694,3,818,1694,1694,2,2007,0,7,Gd,Ex,Ex,Fin,228,318000
6,1487,1,220,735,798,1,1945,1,7,TA,TA,TA,Unf,140,113000
8,1566,2,750,1566,1566,2,2008,0,7,Gd,Gd,Gd,RFn,168,262500
5,866,0,0,686,866,1,1945,0,4,Gd,TA,TA,,42,110500
5,1440,1,352,540,889,1,1900,0,6,TA,TA,TA,Unf,0,79000
6,1217,1,288,626,626,1,1980,1,6,TA,TA,Gd,RFn,28,120000
7,2110,2,463,948,1222,2,1994,2,8,Gd,Gd,Gd,RFn,130,205000
7,1872,2,604,1845,1872,2,1988,1,6,TA,TA,Gd,Fin,39,241500
6,1928,1,440,1020,908,2,1910,0,9,Fa,TA,Fa,Unf,60,137000
6,1375,2,451,1367,1375,1,1954,1,5,TA,TA,TA,Unf,30,140000
7,1668,2,500,840,840,2,2003,0,8,Gd,Gd,Gd,RFn,68,180000
6,2144,2,389,1444,1444,2,1958,2,7,Gd,Gd,Gd,Fin,98,277000
3,1306,0,0,728,1306,1,1940,0,6,Fa,TA,TA,,0,76500
8,1625,2,538,1573,1625,2,2006,1,5,Gd,Gd,Gd,Fin,0,235000
6,1640,2,520,798,798,2,2004,0,6,Gd,Gd,Gd,RFn,45,173000
6,1302,1,309,1302,1302,2,1964,0,7,Gd,TA,Gd,RFn,0,158000
5,1314,1,294,1314,1314,1,1957,0,5,TA,TA,TA,RFn,0,145000
7,2291,2,429,975,1005,2,1999,1,8,Gd,Gd,Gd,Fin,0,230000
6,1728,2,673,864,864,2,2003,0,7,Gd,Gd,Gd,RFn,56,207500
7,1604,2,660,1604,1604,2,2006,1,8,Gd,Gd,Gd,RFn,110,220000
7,1792,2,564,963,963,2,2001,1,7,Gd,Gd,Gd,RFn,96,231500
5,882,1,308,0,882,1,1956,0,4,TA,TA,,Unf,45,97000
6,1382,2,884,1362,1382,1,1962,1,6,TA,TA,TA,Unf,0,176000
8,2574,3,868,1482,1482,2,2007,1,10,Ex,Gd,Ex,Fin,148,276000
6,1212,2,492,506,1212,1,1977,1,6,TA,TA,Gd,Unf,12,151000
5,1316,2,484,926,926,1,1929,0,6,TA,TA,TA,Unf,0,130000
5,764,2,504,680,764,1,1925,0,4,TA,TA,Fa,Unf,0,73000
6,1422,2,576,1422,1422,2,1981,1,7,Gd,TA,Gd,Fin,0,175500
6,1511,2,413,802,802,2,1997,1,8,TA,TA,Gd,Fin,75,185000
5,2192,1,240,720,1052,2,1939,1,8,Gd,TA,TA,Unf,24,179500
5,778,1,924,740,778,1,1940,1,4,TA,TA,TA,Fin,25,120500
6,1113,1,504,1143,1113,1,1976,1,6,TA,TA,TA,RFn,30,148000
8,1939,3,1053,1095,1095,2,2006,1,8,Gd,Gd,Gd,RFn,51,266000
7,1363,2,439,1385,1363,1,1954,2,5,TA,TA,Gd,Unf,0,241500
8,2270,3,671,1152,1164,2,1999,1,9,Gd,Gd,Gd,Fin,57,290000
6,1632,1,338,1240,1632,2,1958,1,6,TA,TA,TA,RFn,0,139000
5,816,1,264,816,816,1,1982,0,5,TA,TA,TA,Unf,0,124500
7,1548,2,672,952,952,2,1925,0,5,Ex,Gd,TA,Unf,0,205000
7,1560,2,573,1560,1560,2,2003,0,7,Gd,Gd,Ex,Fin,150,201000
4,864,2,400,864,864,1,1951,0,4,TA,TA,TA,Unf,0,141000
9,2121,3,732,2121,2121,2,2006,1,8,Ex,Ex,Ex,Fin,98,415298
7,2022,2,505,1160,1156,2,1977,1,8,TA,TA,Gd,Fin,117,192000
7,1982,2,575,807,1175,2,1989,1,7,Gd,Gd,Gd,Fin,84,228500
6,1262,2,572,1262,1262,2,2006,0,5,Gd,Gd,Gd,Fin,120,185000
7,1314,2,626,1314,1314,2,2007,1,6,Gd,Gd,Gd,RFn,62,207500
8,1468,3,898,1468,1468,2,2008,1,6,Gd,Gd,Gd,Fin,150,244600
6,1575,2,529,1575,1575,2,1992,0,5,Gd,Gd,Gd,RFn,0,179200
7,1250,2,528,625,625,2,2006,0,5,Gd,Gd,Gd,RFn,54,164700
6,1734,2,440,912,1085,1,1962,1,7,Gd,TA,TA,RFn,0,159000
4,858,0,0,858,858,1,1971,0,5,TA,TA,TA,,0,88000
5,900,1,280,882,900,1,1967,0,5,TA,TA,TA,Unf,0,122000
