OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,YearBuilt,Fireplaces,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,GarageFinish,OpenPorchSF,SalePrice
6,1396,1,384,698,698,1,1915,0,7,TA,TA,TA,Unf,0,153575
8,1919,2,685,1079,1079,2,2006,1,8,Gd,Gd,Gd,RFn,51,233230
5,1716,0,0,780,936,2,1912,0,9,Fa,TA,TA,,184,135900
5,1716,1,281,768,1148,1,1949,1,8,TA,TA,TA,Unf,0,131000
7,2263,2,539,795,1468,2,1977,1,9,Gd,TA,TA,Fin,250,235000
6,1644,2,418,1416,1644,1,1953,2,7,TA,TA,TA,Fin,0,167000
6,1003,2,588,1003,1003,1,1984,0,6,TA,TA,TA,Unf,0,142500
5,1558,1,282,910,910,1,1950,0,6,TA,TA,TA,Unf,0,152000
7,1950,2,576,975,975,2,1997,1,7,Gd,Gd,Gd,RFn,10,239000
6,1743,2,539,702,1041,1,1968,1,7,TA,Gd,TA,Unf,0,175000
6,1152,1,300,1092,1152,1,1950,1,6,Gd,TA,TA,Unf,36,158500
5,1336,1,375,1165,1336,1,1953,2,5,TA,TA,TA,Unf,0,157000
8,2452,2,683,1028,1210,2,1998,1,9,Gd,Gd,Gd,Fin,50,267000
7,1541,3,843,1541,1541,2,2001,1,6,Gd,Gd,Gd,RFn,81,205000
5,894,2,552,894,894,1,1972,0,5,TA,TA,TA,Unf,0,149900
7,3493,3,870,1470,1675,3,1880,1,10,Gd,TA,TA,Unf,0,295000
8,2000,3,888,2000,2000,2,2004,0,8,Gd,Gd,Gd,Fin,0,305900
7,2243,3,746,700,1122,2,1990,1,8,Gd,Gd,Gd,RFn,44,225000
6,1406,0,0,319,1035,1,1920,0,6,Fa,TA,TA,,144,89500
4,861,2,539,861,861,1,1940,0,4,TA,TA,TA,Unf,0,82500
9,1944,3,708,1896,1944,2,2003,3,8,Ex,Gd,Ex,Fin,175,360000
6,1501,2,420,697,697,2,1993,1,6,Gd,TA,Gd,Fin,63,165600
6,972,1,240,972,972,1,1948,1,5,TA,TA,TA,Unf,0,132000
5,1118,2,410,793,793,1,1939,1,5,TA,TA,Gd,Unf,0,119900
7,2036,2,513,2136,2036,2,1965,2,8,TA,TA,Gd,RFn,0,375000
7,1641,2,546,728,832,1,1925,1,6,Ex,TA,TA,Unf,0,178000
7,1432,2,432,716,716,2,2004,1,6,Gd,Gd,Gd,Fin,51,188500
7,2353,2,484,845,1153,2,1980,1,10,Ex,Gd,Gd,RFn,195,260000
8,1959,3,1025,1088,1088,2,2006,1,8,Gd,Gd,Gd,RFn,46,270000
7,2646,3,656,1347,1372,2,1993,1,9,Gd,Gd,Gd,RFn,60,260000
7,1472,2,588,1372,1472,2,1980,2,6,TA,TA,Gd,Unf,48,187500
9,2596,3,840,1249,1249,3,2006,0,9,Gd,TA,Ex,RFn,154,342643
8,2468,3,872,1136,1136,2,2004,1,10,Gd,Gd,Ex,Fin,154,354000
7,2730,2,576,1502,1553,2,1986,1,8,Gd,Gd,TA,Fin,96,301000
3,1163,1,220,1162,1163,1,1955,0,6,TA,TA,TA,Unf,98,126175
7,2978,2,564,710,1898,2,1967,1,11,Gd,Gd,Gd,Fin,0,242000
5,803,2,360,720,803,1,1941,0,5,TA,TA,TA,Unf,0,87000
8,1719,2,473,1719,1719,1,1993,2,6,Gd,Gd,Gd,Fin,30,324000
6,1383,1,292,1383,1383,1,1960,0,7,TA,TA,TA,RFn,45,145250
6,2134,2,441,844,1445,2,1916,0,10,Gd,TA,TA,Unf,60,214500
5,1192,1,189,596,596,1,1920,0,6,TA,TA,TA,Unf,0,78000
5,1728,1,352,1728,1728,2,1964,0,10,TA,TA,TA,Unf,0,119000
5,1056,1,308,1056,1056,1,1958,0,6,TA,TA,TA,RFn,0,139000
8,1629,3,880,3206,1629,2,2003,1,7,Gd,Gd,Gd,RFn,0,284000
7,1358,2,484,1358,1358,2,2004,1,6,Gd,Gd,Gd,RFn,30,207000
6,1638,2,472,943,943,2,1998,2,7,TA,TA,Gd,Fin,38,192000
5,1786,2,529,1499,1619,2,1965,2,7,TA,TA,TA,Fin,0,228950
9,1922,3,676,1922,1922,2,2005,1,8,Gd,Gd,Ex,Fin,51,377426
7,1536,2,532,1536,1536,2,2002,0,7,Gd,Gd,Gd,RFn,74,214000
7,1621,2,440,1208,1621,2,1984,0,8,Gd,Gd,Gd,RFn,45,202500
6,1215,1,297,1215,1215,1,1958,0,6,TA,TA,TA,Unf,0,155000
8,1908,2,431,967,993,2,2002,0,9,Gd,Gd,Gd,Fin,0,202900
4,841,1,294,721,841,1,1950,0,4,TA,Fa,TA,Unf,0,82000
3,1040,2,400,0,1040,2,1949,0,6,TA,TA,,Unf,0,87500
9,1684,2,564,1684,1684,2,2005,1,6,Ex,Ex,Ex,RFn,72,266000
5,1112,1,336,536,536,1,1976,0,4,TA,TA,Gd,Unf,0,85000
6,1577,1,312,972,972,1,1939,1,6,Fa,TA,TA,Unf,0,140200
6,958,1,301,958,958,1,1960,0,5,TA,TA,TA,RFn,0,151500
6,1478,2,498,1478,1478,2,1960,2,6,TA,TA,TA,Unf,40,157500
7,1626,2,474,764,764,2,2003,0,6,Gd,Gd,Gd,RFn,27,154000
9,2728,3,706,1848,1848,2,2005,2,10,Ex,Ex,Ex,Fin,0,437154
9,1869,2,617,1869,1869,2,2007,1,6,Ex,Ex,Ex,RFn,54,318061
7,1453,2,445,1453,1453,1,1986,1,6,Gd,TA,Gd,RFn,80,190000
5,1111,1,200,616,616,1,1941,0,5,TA,TA,TA,Unf,0,95000
6,720,2,484,624,720,1,1928,0,5,TA,TA,TA,Unf,0,105900
6,1595,1,240,940,1192,1,1940,2,6,TA,TA,TA,Unf,0,140000
6,1200,2,521,1200,1200,2,1995,0,6,Gd,Gd,Gd,RFn,26,177500
6,1167,2,400,1158,1167,2,1992,0,6,Gd,TA,Gd,RFn,26,173000
5,1142,2,528,1142,1142,1,1976,1,6,TA,TA,Gd,Fin,90,134000
5,1352,1,288,1062,1352,1,1958,0,6,Gd,TA,TA,Unf,0,130000
8,1924,2,592,1086,1086,2,1998,1,7,Gd,Gd,Gd,RFn,75,280000
6,912,2,470,888,912,1,1978,1,5,TA,TA,Gd,RFn,0,156000
5,1505,1,240,883,988,1,1940,0,8,TA,TA,TA,Unf,0,145000
7,1922,2,672,0,495,3,2003,1,7,Gd,Gd,,RFn,0,198500
6,987,1,264,483,483,1,1972,0,5,Gd,TA,TA,Unf,0,118000
6,1574,2,566,796,790,2,1976,1,6,TA,TA,Gd,Fin,111,190000
5,1344,1,468,672,672,1,1920,0,6,TA,TA,TA,Unf,128,147000
6,1394,2,514,1394,1394,1,1963,2,6,TA,TA,Gd,RFn,76,159000
6,1431,1,296,1099,1431,1,1962,1,6,TA,TA,Gd,RFn,110,165000
5,1268,1,244,1268,1268,1,1954,1,7,TA,TA,TA,Fin,98,132000
5,1287,2,576,1063,1287,1,1959,1,7,Gd,TA,TA,Fin,17,162000
6,1664,2,460,953,953,2,2000,1,7,TA,TA,Gd,RFn,40,172400
4,1588,2,680,0,1120,2,1959,1,7,TA,TA,,Fin,59,134432
6,752,1,264,744,752,1,1984,0,4,TA,TA,Gd,Unf,0,125000
5,1319,1,270,608,1319,1,1953,0,5,TA,TA,TA,Unf,0,123000
7,1928,2,434,847,847,2,2003,1,8,Gd,Gd,Gd,Fin,48,219500
1,904,0,0,683,904,0,1922,0,4,Fa,Fa,Fa,,0,61000
5,914,2,576,870,914,1,1996,0,5,TA,Gd,Gd,Unf,0,148000
8,2466,2,610,1580,1580,3,2004,1,8,Gd,Gd,Gd,RFn,214,340000
9,1856,3,834,1856,1856,1,2010,1,8,Ex,Gd,Ex,Fin,0,394432
6,1800,2,463,982,1007,2,2000,1,7,TA,TA,Gd,Fin,63,179000
5,1691,1,308,1026,1026,2,1924,1,6,Gd,TA,TA,Unf,0,127000
7,1301,2,572,1293,1301,2,2006,1,5,Gd,Gd,Gd,RFn,121,187750
7,1797,2,639,939,939,2,2006,0,8,Gd,Gd,Gd,RFn,53,213500
6,784,2,360,784,784,1,1928,0,5,TA,TA,Fa,Unf,0,76000
6,1953,2,501,1580,1079,2,1992,2,9,Gd,Gd,Gd,Fin,231,240000
8,1269,2,430,1256,1269,2,2004,1,6,Gd,Gd,Gd,Fin,20,192000
5,1184,0,0,658,658,1,1910,0,8,TA,TA,TA,,151,81000
6,1125,1,352,1041,1125,1,1976,1,6,TA,TA,TA,Unf,0,125000
7,1479,2,577,1468,1479,2,1999,0,6,Gd,Gd,Gd,RFn,25,191000
10,2332,3,846,1682,1742,2,2007,1,9,Ex,Ex,Ex,Fin,134,426000
5,1367,1,384,861,961,1,1900,0,7,TA,TA,TA,Unf,130,119000
6,1961,2,560,804,804,2,2001,1,7,Gd,TA,Ex,Fin,192,215000
5,882,1,294,0,882,1,1959,0,5,TA,TA,,RFn,0,106500
4,788,0,0,788,788,1,1941,2,4,TA,TA,TA,,0,100000
5,1034,1,240,735,735,1,1940,0,5,TA,TA,TA,Unf,39,109000
5,1144,1,596,1144,1144,1,1956,0,6,TA,TA,TA,Unf,0,129000
5,894,2,600,894,894,1,1972,0,6,TA,TA,TA,RFn,0,123000
5,1812,1,264,864,876,2,1962,1,8,TA,TA,TA,RFn,168,169500
5,1077,1,338,961,1077,1,1920,0,6,TA,TA,Fa,Unf,0,67000
7,1550,2,438,1092,1112,2,2006,0,7,Gd,Gd,Gd,Fin,168,241000
8,1288,2,500,1260,1288,1,1996,2,4,Ex,Gd,Gd,Fin,30,245500
7,1310,2,400,1310,1310,2,2005,1,6,Gd,Gd,Gd,Fin,0,164990
5,672,1,240,672,672,1,1940,0,4,TA,TA,TA,Unf,0,108000
8,2263,2,420,1141,1165,2,1998,1,10,Gd,Gd,Gd,Fin,123,258000
6,1572,2,373,806,806,2,1995,1,7,TA,TA,Gd,Fin,40,168000
4,1620,2,490,1281,1620,2,1976,1,8,TA,TA,TA,Unf,78,150000
6,1639,1,240,1064,1166,1,1936,0,6,TA,TA,TA,Unf,0,115000
6,1680,1,308,840,840,2,1915,0,8,TA,TA,Gd,Unf,0,177000
7,2172,3,947,1063,1071,2,2006,1,9,Gd,Gd,Ex,RFn,62,280000
8,2078,3,836,1034,1050,2,2007,1,8,Ex,Gd,Ex,Fin,102,339750
5,1276,1,350,1276,1276,1,1958,0,5,TA,TA,TA,Unf,0,60000
5,1056,2,572,1056,1056,1,1955,0,5,TA,TA,TA,Fin,0,145000
7,1478,2,484,1470,1478,2,2009,1,7,Gd,Ex,Ex,Fin,144,222000
5,1028,2,360,1008,1028,1,1927,1,5,TA,TA,TA,Unf,0,115000
7,2097,3,678,1080,1080,2,1993,1,9,Gd,Gd,Gd,Unf,187,228000
7,1340,2,396,1340,1340,2,2007,0,6,Gd,Gd,Gd,Fin,30,181134
6,1400,2,440,672,672,1,1978,1,6,TA,TA,TA,Fin,0,149500
6,2624,3,864,1370,1370,2,1918,1,10,TA,TA,Gd,Unf,0,239000
5,1134,1,240,756,756,1,1940,0,7,TA,TA,TA,Unf,0,126000
5,1056,1,304,1056,1056,1,1968,1,6,TA,TA,TA,Unf,85,142000
7,1344,4,784,1344,1344,2,1997,0,8,TA,TA,Gd,Fin,0,206300
6,1602,2,529,1602,1602,2,1977,1,8,Gd,Gd,Gd,Fin,0,215000
5,988,2,520,988,988,1,1954,0,4,TA,TA,TA,RFn,0,113000
8,2630,3,696,1470,1470,2,1998,1,8,Gd,Gd,Gd,Fin,66,315000
6,1196,1,297,1196,1196,1,1956,1,6,TA,TA,Gd,RFn,44,139000
7,1389,1,240,651,707,1,1946,2,6,TA,TA,TA,Unf,0,135000
7,1644,2,569,1518,1644,2,1989,1,5,Gd,Gd,Gd,Fin,0,275000
4,907,1,352,907,907,1,1957,0,5,TA,TA,TA,Unf,0,109008
7,1208,2,628,1208,1208,2,2007,0,6,Gd,Gd,Gd,RFn,54,195400
6,1412,2,576,1392,1412,2,1988,1,6,Gd,TA,Gd,Unf,0,175000
6,987,1,264,483,483,1,1971,0,4,TA,TA,TA,Unf,0,85400
6,1198,0,0,901,1088,1,1920,0,7,TA,TA,TA,,98,79900
5,1365,2,440,765,765,1,1971,0,6,TA,TA,TA,Unf,36,122500
6,1604,2,470,926,926,2,1997,1,7,TA,TA,Gd,Fin,36,181000
4,630,0,0,630,630,1,1972,0,3,TA,TA,Gd,,0,81000
7,1661,2,550,799,827,2,1996,1,6,Gd,Gd,Gd,RFn,61,212000
6,1118,2,440,648,734,1,1920,0,6,TA,TA,Fa,Unf,0,116000
6,904,1,180,884,904,1,1926,0,4,TA,Gd,TA,Unf,0,119000
5,694,1,352,440,694,1,1913,1,4,Gd,TA,TA,Unf,0,90350
6,1196,2,528,684,684,1,1920,0,7,Gd,TA,TA,Unf,46,110000
10,2402,3,672,3094,2402,2,2008,2,10,Ex,Ex,Ex,Fin,72,555000
4,1440,0,0,1440,1440,2,1955,0,8,Fa,TA,TA,,0,118000
5,1573,2,360,1078,1128,2,1930,1,8,TA,TA,TA,Unf,0,162900
7,1258,3,648,1258,1258,2,2006,1,6,Gd,Gd,Ex,Fin,16,172500
7,1908,2,493,915,933,2,1994,1,8,Gd,Gd,Gd,Unf,133,210000
6,1689,2,480,1436,1689,1,1956,1,7,TA,TA,TA,Unf,0,127500
6,1888,2,578,1517,1888,2,1966,1,6,Gd,Gd,TA,Fin,0,190000
7,1886,2,431,930,956,2,1998,1,10,Gd,Gd,Gd,Fin,0,199900
6,1376,1,198,780,780,2,1937,1,7,TA,TA,TA,Unf,0,119500
3,1183,1,308,649,679,1,1948,0,6,TA,TA,TA,Unf,176,120000
6,813,1,270,813,813,1,1930,0,5,Gd,TA,TA,Unf,113,110000
7,1533,2,576,1533,1533,2,1975,2,5,Gd,TA,Gd,Unf,54,280000
6,1756,2,422,872,888,2,1996,0,7,TA,Gd,Ex,Fin,122,204000
8,1590,2,676,768,786,2,2008,0,6,Gd,Gd,Gd,RFn,30,210000
5,1728,2,560,1728,1728,2,1976,0,8,TA,TA,TA,Unf,0,188000
7,1242,2,528,1242,1242,1,1973,1,6,TA,TA,TA,Unf,0,175500
5,1344,3,513,624,624,1,1916,0,7,TA,TA,TA,Unf,0,98000
4,1663,2,529,1364,1663,1,1954,2,6,Gd,TA,Gd,Fin,137,256000
8,1666,1,228,588,833,1,1925,1,7,Gd,TA,TA,Unf,63,161000
5,1203,1,352,709,979,1,1950,1,5,Gd,TA,TA,Unf,0,110000
8,1935,2,552,832,832,2,2009,0,8,TA,Gd,Gd,Fin,150,263435
7,1135,2,576,560,575,1,1936,0,6,Gd,Gd,Gd,RFn,0,155000
5,864,1,360,864,864,1,1965,1,5,TA,TA,TA,Unf,0,62383
6,1660,1,240,715,849,1,1934,1,6,TA,TA,TA,Unf,0,188700
5,1040,0,0,1040,1040,2,1978,0,5,TA,TA,Gd,,0,124000
7,1414,2,398,1375,1414,2,2004,1,6,Gd,Gd,Gd,Fin,20,178740
7,1277,2,526,1277,1277,1,1970,1,5,TA,TA,TA,Unf,0,167000
5,1644,1,312,728,888,1,1942,2,7,Gd,TA,TA,Unf,0,146500
8,1634,3,866,1626,1634,2,2006,1,7,Gd,Gd,Gd,RFn,44,250000
6,1710,2,506,832,832,2,1993,0,7,Gd,Gd,Gd,RFn,70,187000
8,1502,2,528,1488,1502,1,1985,0,4,Gd,Gd,Gd,RFn,54,212000
7,1969,2,534,808,1161,2,1977,1,8,TA,TA,Gd,RFn,0,190000
6,1072,2,525,547,1072,1,2005,0,5,TA,TA,Gd,RFn,28,148000
8,1976,3,908,1976,1976,2,2006,1,7,Gd,Gd,Ex,RFn,63,440000
8,1652,2,499,1494,1652,2,2000,0,6,Ex,Gd,Gd,RFn,48,251000
5,970,2,624,970,970,1,1963,0,5,TA,TA,TA,Unf,24,132500
6,1493,2,508,1478,1493,2,1997,1,7,Gd,TA,Gd,Fin,39,208900
9,2643,3,694,2153,2069,2,2006,1,9,Ex,Ex,Gd,Fin,84,380000
8,1718,3,826,1705,1718,2,2007,1,7,Gd,Gd,Ex,RFn,44,297000
4,1131,2,672,907,1131,1,1937,0,7,TA,TA,Fa,Unf,72,89471
9,1850,3,772,1833,1850,2,2004,1,8,Gd,Gd,Ex,Fin,112,326000
9,1792,3,874,1792,1792,2,2003,1,6,Ex,Gd,Ex,Fin,49,374000
7,1826,1,164,910,916,1,1915,1,7,Ex,Gd,TA,Unf,0,155000
6,1216,2,402,1216,1216,2,1998,0,5,TA,TA,Ex,Unf,125,164000
5,999,1,264,999,999,1,1962,0,6,Gd,TA,TA,Unf,132,132500
5,1113,1,264,1113,1113,1,1950,1,5,Gd,Gd,TA,Unf,80,147000
5,1073,2,515,1073,1073,1,1965,0,6,TA,TA,TA,RFn,0,156000
5,1484,2,487,1484,1484,2,1971,1,7,TA,TA,Gd,Unf,0,175000
5,2414,2,520,954,1766,2,1900,1,10,TA,TA,TA,Unf,0,160000
4,630,1,286,630,630,1,1970,0,3,Gd,TA,Gd,Unf,0,86000
5,1304,1,336,264,616,1,1976,1,4,TA,TA,Gd,Fin,24,115000
6,1578,1,240,806,958,1,1941,2,5,Fa,TA,TA,Unf,0,133000
6,1456,2,429,728,728,2,2006,0,8,TA,Gd,Gd,RFn,0,172785
5,1269,1,308,1269,1269,1,1960,1,6,TA,TA,TA,Unf,0,155000
5,886,1,273,190,886,1,1938,0,4,TA,TA,Fa,Unf,20,91300
4,720,0,0,720,720,1,1920,0,4,TA,TA,TA,,523,34900
8,3228,2,546,3200,3228,3,1992,1,10,Gd,Gd,Gd,RFn,75,430000
7,1820,1,240,1026,1133,2,1925,0,8,TA,TA,TA,Unf,100,184000
5,899,1,288,864,899,1,1967,0,5,Gd,TA,TA,Fin,0,130000
5,912,1,297,912,912,1,1958,0,5,TA,TA,TA,Fin,285,120000
6,1218,1,264,672,672,1,1973,0,7,TA,TA,TA,Unf,28,113000
7,1768,2,603,866,866,2,2005,0,7,Gd,Gd,Gd,RFn,108,226700
5,1214,2,461,1214,1214,1,1965,0,6,TA,TA,TA,Unf,0,140000
7,1801,2,484,1501,1801,2,1959,2,6,TA,TA,TA,Fin,54,289000
6,1322,2,440,855,855,2,1974,1,6,TA,TA,TA,Unf,0,147000
5,1960,2,400,960,960,2,1952,0,10,TA,TA,TA,Unf,0,124500
8,1911,2,471,777,1065,2,1993,1,8,Gd,Gd,Gd,RFn,81,215000
6,1218,2,676,1218,1218,2,2009,0,4,Gd,Gd,Gd,Fin,102,208300
7,1378,2,360,689,689,2,1928,1,7,Gd,TA,TA,Unf,0,161000
5,1041,1,270,1041,1041,1,1959,0,6,TA,TA,TA,RFn,88,124500
5,1363,1,288,1008,1363,1,1951,2,6,TA,Gd,TA,Unf,42,164900
7,1368,2,474,1368,1368,2,2005,1,6,Gd,Gd,Gd,RFn,35,202665
5,864,2,624,864,864,1,1958,0,5,TA,TA,TA,Unf,0,129900
6,1080,2,484,1084,1080,1,1983,0,5,TA,TA,TA,Unf,0,134000
5,789,1,200,768,789,1,1926,0,5,TA,TA,TA,Unf,0,96500
10,2020,3,900,2006,2020,2,2009,1,9,Ex,Ex,Ex,Fin,54,402861
6,2119,2,583,689,1378,2,1972,1,7,TA,TA,TA,RFn,104,158000
7,2344,3,889,1264,1277,2,1996,1,7,Gd,Gd,Gd,RFn,0,265000
6,1796,2,546,794,882,2,1998,0,7,TA,TA,Gd,RFn,36,211000
7,2080,1,282,1276,1276,1,1926,2,9,Gd,Gd,Gd,Unf,0,234000
4,1294,0,0,0,694,2,1900,0,7,TA,TA,,,114,106250
6,1244,1,336,1244,1244,1,1957,2,6,TA,TA,TA,Unf,40,150000
6,1664,2,420,1004,1004,2,1947,2,7,TA,TA,TA,Unf,24,159000
10,4676,3,884,3138,3138,3,2007,1,11,Ex,Ex,Ex,Fin,406,184750
7,2398,3,834,1379,1383,2,1996,1,8,Gd,Gd,Gd,Fin,60,315750
7,1266,2,453,1257,1266,2,2005,1,6,Gd,Gd,Gd,Unf,144,176000
5,928,1,252,928,928,1,1956,0,4,TA,TA,Gd,Unf,0,132000
9,2713,3,858,1452,1476,2,2008,1,11,Ex,Ex,Ex,Fin,66,446261
4,605,0,0,528,605,1,1920,0,5,TA,TA,TA,,0,86000
6,2515,2,484,2035,2515,3,1957,2,9,TA,Gd,TA,RFn,0,200624
6,1509,2,600,1461,1509,2,1988,1,5,Gd,Gd,Gd,RFn,0,175000
6,1362,2,502,611,751,2,1920,0,6,TA,TA,Fa,Fin,0,128000
5,827,1,392,0,827,1,1955,1,5,TA,TA,,Unf,0,107500
1,334,0,0,0,334,1,1946,0,2,Fa,Fa,,,0,39300
8,1414,2,403,707,707,2,2004,1,6,Gd,Gd,Ex,Fin,35,178000
5,1347,0,0,1117,820,1,1910,0,5,TA,TA,Gd,,0,107500
7,1724,2,527,880,880,2,1998,0,8,Gd,TA,Gd,Fin,155,188000
4,864,2,576,864,864,1,1972,0,5,TA,TA,TA,Unf,0,111250
5,1159,1,336,1051,1159,1,1968,1,7,TA,TA,TA,Unf,0,158000
8,1601,2,670,1581,1601,2,2001,1,6,Gd,Gd,Gd,RFn,0,272000
9,1838,3,765,1838,1838,2,2006,1,8,Ex,Ex,Ex,Fin,68,315000
8,2285,3,648,969,997,2,2000,1,8,Gd,Gd,Gd,Fin,56,248000
7,1680,2,583,1650,1680,2,1998,1,7,Gd,Gd,Ex,Fin,73,213250
7,767,1,367,723,767,1,1998,0,4,TA,TA,Gd,Fin,40,133000
7,1496,2,426,654,664,2,2006,1,7,Gd,Gd,Gd,RFn,24,179665
7,2183,3,786,1204,1377,2,1988,0,9,Gd,Gd,Gd,Unf,0,229000
6,1635,2,440,1065,915,1,1923,1,6,TA,TA,Gd,Unf,38,210000
5,768,2,624,768,768,1,1970,0,5,TA,TA,Gd,Unf,0,129500
5,825,2,720,825,825,1,1955,0,4,TA,TA,TA,RFn,50,125000
7,2094,2,615,912,912,2,2003,1,8,Gd,Gd,Gd,Fin,182,263000
6,1069,2,440,1069,1069,2,1977,0,4,TA,TA,Gd,RFn,55,140000
5,928,1,288,928,928,1,1957,0,5,TA,TA,TA,Fin,0,112500
8,1717,3,908,1709,1717,2,2006,1,7,Gd,Gd,Ex,RFn,39,255500
4,1126,2,520,0,1126,2,1949,0,5,Gd,TA,,Fin,96,108000
7,2046,3,871,998,1006,2,2003,1,8,Gd,Gd,Gd,RFn,62,284000
5,1048,1,280,993,1048,1,1922,1,5,TA,TA,TA,Unf,0,113000
5,1092,1,299,1092,1092,1,1957,1,6,TA,TA,TA,Fin,0,141000
4,1336,1,570,637,897,1,1920,0,7,TA,TA,TA,Unf,47,108000
7,1446,2,406,729,729,2,1996,1,6,TA,TA,Gd,Unf,22,175000
7,1557,2,420,1374,1557,2,2003,1,7,Gd,Gd,Gd,Fin,20,234000
5,1392,2,528,1392,1392,1,1957,1,5,TA,TA,Gd,Unf,0,121500
5,1389,2,418,1389,1389,1,1974,1,6,TA,TA,Gd,RFn,38,170000
5,996,0,0,996,996,1,1940,1,6,TA,TA,TA,,0,108000
6,1674,2,396,1163,1163,2,1918,1,8,TA,TA,Gd,Fin,36,185000
7,2295,2,590,1095,1166,2,1992,1,9,Gd,Gd,Gd,RFn,40,268000
6,1647,1,216,806,841,1,1915,0,6,Fa,TA,Gd,Unf,66,128000
9,2504,3,656,1122,1134,2,2005,1,11,Ex,Gd,Gd,Fin,39,325000
7,1535,2,532,1517,1535,2,2004,0,7,Gd,Gd,Gd,RFn,0,214000
8,2132,2,612,1496,1496,1,1983,1,5,Gd,Gd,Gd,Fin,40,316600
5,943,2,600,943,943,1,1979,2,4,TA,TA,Gd,Unf,0,135960
5,1728,2,576,1728,1728,2,1965,0,10,TA,TA,TA,Unf,0,142600
6,864,1,288,864,864,1,1959,0,4,Gd,TA,TA,Unf,0,120000
7,1692,2,650,846,846,2,2009,0,6,Gd,TA,Ex,RFn,114,224500
7,1430,2,400,384,774,2,2000,1,8,TA,TA,Gd,RFn,0,170000
5,1109,1,288,372,576,1,1971,0,5,TA,TA,TA,Unf,0,139000
5,1216,1,336,832,832,1,1947,0,6,TA,TA,TA,Unf,0,118500
7,1477,1,216,861,877,2,1928,1,6,TA,TA,TA,Unf,50,145000
5,1320,2,564,1164,1320,1,1966,2,6,TA,TA,TA,RFn,68,164500
7,1392,2,540,689,703,2,2007,0,5,Gd,Gd,Gd,Unf,102,146000
5,1795,1,352,1050,1050,2,1954,0,7,TA,TA,TA,Unf,0,131500
6,1429,2,572,1144,1429,1,1960,2,7,Gd,TA,TA,Unf,110,181900
